Date,Open,High,Low,Close*,Adj Close**,Volume
27-Apr-22,"1,036.30","1,062.80","1,026.10","1,052.40","1,052.40",190
26-Apr-22,"1,009.00","1,049.40","1,008.00","1,034.80","1,034.80",175
25-Apr-22,980.2,"1,017.30",945.6,"1,015.00","1,015.00",149
22-Apr-22,"1,021.10","1,029.90","1,000.00","1,002.60","1,002.60",183
21-Apr-22,"1,005.10","1,041.40",989.8,"1,025.00","1,025.00",202
20-Apr-22,960,995.6,945.7,995.6,995.6,249
19-Apr-22,945.4,951.5,920.3,938.6,938.6,156
18-Apr-22,887.9,924.2,871.7,923.9,923.9,187
14-Apr-22,880.3,904.8,862.1,889,889,160
13-Apr-22,876.6,902.5,844.8,883.7,883.7,177
12-Apr-22,862,890,829.3,874.2,874.2,248
11-Apr-22,971.1,992.6,870,886.3,886.3,229
08-Apr-22,891,949.9,890,949.9,949.9,242
07-Apr-22,864.9,896.7,846.7,892.9,892.9,349
06-Apr-22,925,925,881.4,881.4,881.4,174
05-Apr-22,973.9,977.8,935,938.4,938.4,129
04-Apr-22,965,993.3,945.2,966.5,966.5,121
01-Apr-22,955.2,984.8,929.5,964.9,964.9,320
31-Mar-22,"1,012.70","1,043.00",945,965.3,965.3,285
30-Mar-22,"1,075.00","1,084.90",997,"1,001.70","1,001.70",184
29-Mar-22,993.8,"1,055.00",993.8,"1,054.00","1,054.00",158
28-Mar-22,986,"1,001.00",977.8,999.5,999.5,71
25-Mar-22,"1,016.20","1,022.00",974.8,"1,008.00","1,008.00",250
24-Mar-22,"1,022.40","1,059.90","1,003.40","1,020.00","1,020.00",239
23-Mar-22,"1,085.20","1,089.80","1,054.30","1,054.30","1,054.30",110
22-Mar-22,"1,100.00","1,130.00","1,042.30","1,111.30","1,111.30",322
21-Mar-22,"1,201.30","1,229.00","1,128.30","1,128.30","1,128.30",127
18-Mar-22,"1,223.40","1,246.00","1,173.50","1,185.30","1,185.30",181
17-Mar-22,"1,152.00","1,207.00","1,150.00","1,207.00","1,207.00",236
16-Mar-22,"1,201.00","1,201.00","1,125.00","1,150.00","1,150.00",236
15-Mar-22,"1,420.00","1,420.00","1,420.00","1,420.00","1,420.00",213
14-Mar-22,"1,348.00","1,430.00","1,348.00","1,410.00","1,410.00",33
11-Mar-22,"1,370.00","1,420.00","1,310.00","1,410.00","1,410.00",23
10-Mar-22,"1,355.00","1,382.00","1,344.00","1,348.50","1,348.50",39
09-Mar-22,"1,350.60","1,377.10","1,335.90","1,350.50","1,350.50",42
08-Mar-22,"1,411.00","1,425.00","1,385.00","1,386.40","1,386.40",55
07-Mar-22,"1,441.00","1,460.00","1,441.00","1,456.10","1,456.10",50
04-Mar-22,"1,477.40","1,477.40","1,396.00","1,441.00","1,441.00",79
03-Mar-22,"1,439.50","1,464.40","1,438.00","1,464.40","1,464.40",138
02-Mar-22,"1,395.00","1,433.40","1,395.00","1,418.70","1,418.70",128
01-Mar-22,"1,349.00","1,379.50","1,349.00","1,373.00","1,373.00",150
28-Feb-22,"1,310.00","1,341.00","1,309.50","1,336.70","1,336.70",136
25-Feb-22,"1,319.90","1,331.10","1,295.00","1,312.40","1,312.40",215
24-Feb-22,"1,277.70","1,314.50","1,260.00","1,312.00","1,312.00",203
23-Feb-22,"1,252.10","1,277.00","1,242.70","1,277.00","1,277.00",201
22-Feb-22,"1,265.00","1,293.80","1,241.60","1,247.00","1,247.00",268
18-Feb-22,"1,275.00","1,319.90","1,261.00","1,270.00","1,270.00",249
17-Feb-22,"1,301.00","1,316.10","1,290.40","1,290.40","1,290.40",285
16-Feb-22,"1,313.70","1,336.00","1,285.00","1,320.40","1,320.40",432
15-Feb-22,"1,283.50","1,291.00","1,279.80","1,291.00","1,291.00",134
14-Feb-22,"1,207.90","1,246.00","1,202.00","1,246.00","1,246.00",221
11-Feb-22,"1,294.90","1,294.90","1,204.90","1,216.00","1,216.00",695
